iter	Logloss
0	0.6835858762
1	0.6757180681
2	0.6673510563
3	0.6599795453
4	0.6514053961
5	0.6428664366
6	0.6357535
7	0.6279766348
8	0.620556662
9	0.6126076434
10	0.6044618787
11	0.5988938057
12	0.5915430424
13	0.5842961764
14	0.578826335
15	0.5731085591
16	0.5679471597
17	0.5625091003
18	0.5562014686
19	0.5508915335
20	0.5444647476
21	0.5387843596
22	0.5329363319
23	0.5267660706
24	0.5211241252
25	0.5154172981
26	0.5106157372
27	0.5058209664
28	0.5004252173
29	0.4955564709
30	0.4914870092
31	0.4866428393
32	0.4824952121
33	0.478747759
34	0.4747962536
35	0.4706128006
36	0.4663046335
37	0.4621982738
38	0.4582203156
39	0.4540853847
40	0.4504896708
41	0.4476970538
42	0.4439392726
43	0.4400996719
44	0.4364665492
45	0.4330864633
46	0.4300033489
47	0.4265799793
48	0.4232852318
49	0.4197673092
50	0.4166466246
51	0.4136292104
52	0.410084488
53	0.4069453769
54	0.4033773417
55	0.4009747338
56	0.397954118
57	0.3948627574
58	0.3926853972
59	0.3892758219
60	0.3870323769
61	0.3845735922
62	0.3827361312
63	0.3808666908
64	0.3782496362
65	0.3756626869
66	0.3735608416
67	0.3707636263
68	0.3683350085
69	0.3659310596
70	0.3637776954
71	0.3619957774
72	0.3598200496
73	0.3576547491
74	0.3558623219
75	0.354272656
76	0.3521652735
77	0.3504787771
78	0.3487066583
79	0.3472547443
80	0.34591726
81	0.3440902483
82	0.3421155486
83	0.3405753781
84	0.3390260619
85	0.336965371
86	0.335626768
87	0.3338150039
88	0.3322552982
89	0.3313380317
90	0.3302008045
91	0.3283101126
92	0.3265265317
93	0.3252025074
94	0.3242578095
95	0.3228388212
96	0.3216389963
97	0.3199422842
98	0.3186338091
99	0.317281966
100	0.3158447816
101	0.3144444266
102	0.3127140778
103	0.3114696941
104	0.3104894152
105	0.3097199447
106	0.3084629234
107	0.3063454076
108	0.305044782
109	0.3039334804
110	0.3028774038
111	0.3016338321
112	0.3003099271
113	0.2983513089
114	0.2966621987
115	0.2955036055
116	0.294724285
117	0.293735115
118	0.2925714846
119	0.2916557127
120	0.2903346848
121	0.2894190912
122	0.2883008241
123	0.2873613075
124	0.286470616
125	0.2854518171
126	0.2846336681
127	0.2838423113
128	0.2826792194
129	0.2814396718
130	0.2802034867
131	0.2792994446
132	0.2785326326
133	0.2772796354
134	0.2761878796
135	0.2749480858
136	0.2738969462
137	0.2728403079
138	0.2720141172
139	0.2716786648
140	0.2708785753
141	0.2694981856
142	0.2691710821
143	0.2683291804
144	0.2673927938
145	0.2666953607
146	0.2659095937
147	0.2652357397
148	0.2640789629
149	0.263660875
150	0.2630216118
151	0.2624540834
152	0.2614945082
153	0.2606540107
154	0.2597478508
155	0.2587747001
156	0.2580768368
157	0.2575356071
158	0.2562807332
159	0.2553030156
160	0.2544412469
161	0.2537659564
162	0.2532460042
163	0.2528231171
164	0.2524340924
165	0.2516429789
166	0.2510700291
167	0.2504894261
168	0.2499260106
169	0.2497892287
170	0.2492550423
171	0.2489558944
172	0.2482406699
173	0.2478679178
174	0.2474162214
175	0.2468618328
176	0.2459884265
177	0.2456464324
178	0.2449063288
179	0.2442296615
180	0.2427760267
181	0.242236739
182	0.2415136824
183	0.2410240529
184	0.240439241
185	0.2400153227
186	0.2394250978
187	0.2390392014
188	0.2386712972
189	0.2383958909
190	0.2376389454
191	0.2369824265
192	0.236906814
193	0.2367726687
194	0.2363989406
195	0.2358654433
196	0.2353818181
197	0.2348648922
198	0.2337751517
199	0.2332827793
200	0.2327368541
201	0.2322766463
202	0.231821903
203	0.2310023835
204	0.2307118267
205	0.2302743527
206	0.2296843718
207	0.228929184
208	0.2286990866
209	0.2281694131
210	0.2275023024
211	0.2272139319
212	0.2267545208
213	0.2264127992
214	0.2258607637
215	0.2256115322
216	0.2252918636
217	0.2244239301
218	0.2239870684
219	0.2235388505
220	0.2231150187
221	0.2227440487
222	0.2224154
223	0.2218121463
224	0.2214049145
225	0.2209565777
226	0.2205705204
227	0.2202585391
228	0.21993906
229	0.2197255645
230	0.2193568121
231	0.2189449902
232	0.2186936687
233	0.2183431122
234	0.2179949973
235	0.2177501926
236	0.2174963831
237	0.2170761634
238	0.2166117285
239	0.216353842
240	0.2159734027
241	0.2155179468
242	0.2152320838
243	0.2149364096
244	0.2146085796
245	0.2141957057
246	0.2138880632
247	0.2135115717
248	0.2131598566
249	0.2128715696
250	0.2126764899
251	0.2124155648
252	0.2121935656
253	0.2119058707
254	0.2115869235
255	0.2113275572
256	0.2110058019
257	0.2106172685
258	0.2102494651
259	0.2099558906
260	0.2096921841
261	0.2091544684
262	0.2088222081
263	0.2085060403
264	0.2080017692
265	0.2076434498
266	0.2073304396
267	0.2069726967
268	0.2066888801
269	0.2063830865
270	0.2060909028
271	0.2057370126
272	0.2053344592
273	0.2049705423
274	0.2045215733
275	0.2035150245
276	0.2030271326
277	0.2026044345
278	0.2024218668
279	0.2021845859
280	0.2018995697
281	0.2015445254
282	0.201374173
283	0.2011082342
284	0.2008479319
285	0.2005840679
286	0.2003298929
287	0.1999709129
288	0.1991518368
289	0.1989570012
290	0.19867783
291	0.1984841902
292	0.1982654636
293	0.1981404684
294	0.1979492781
295	0.1977183363
296	0.1974692557
297	0.1971815254
298	0.1969946593
299	0.1968001879
300	0.1964956067
301	0.196085114
302	0.1958513519
303	0.1956544414
304	0.1954352708
305	0.1950814062
306	0.1949015332
307	0.1947562012
308	0.1944531749
309	0.1942492014
310	0.1939876722
311	0.1936752602
312	0.1933773428
313	0.1931854562
314	0.1927466505
315	0.1925873018
316	0.192326845
317	0.1920832853
318	0.191884903
319	0.1916414179
320	0.1910831654
321	0.1908414458
322	0.1905364333
323	0.1902810141
324	0.1900989701
325	0.189845012
326	0.1895926058
327	0.1894128915
328	0.189377573
329	0.1891413486
330	0.1889663922
331	0.1888025307
332	0.1885631954
333	0.1883871317
334	0.1882212661
335	0.1881706069
336	0.1878496671
337	0.1876502367
338	0.187439989
339	0.187118598
340	0.1868723639
341	0.1866914148
342	0.1863957108
343	0.1862394556
344	0.1860048197
345	0.1857962188
346	0.1856219626
347	0.1853827171
348	0.1851515266
349	0.1850084317
350	0.1847441669
351	0.1845869179
352	0.1843774015
353	0.1841542234
354	0.1839879074
355	0.1837475735
356	0.183578474
357	0.1834493223
358	0.1832689448
359	0.1832502295
360	0.1829369498
361	0.1827297842
362	0.1825382163
363	0.1823260676
364	0.1822314293
365	0.1820839041
366	0.1818930223
367	0.1816949866
368	0.1815180689
369	0.1812097259
370	0.1809897531
371	0.1808317944
372	0.1805741687
373	0.1804870865
374	0.1802587191
375	0.1802412846
376	0.1799790939
377	0.1797823662
378	0.1794327364
379	0.1792590171
380	0.1791411925
381	0.1789334516
382	0.1787574992
383	0.1786529786
384	0.1781579601
385	0.1778695384
386	0.1776244296
387	0.1773663527
388	0.1771558202
389	0.1769392982
390	0.176749748
391	0.1765836713
392	0.1764239117
393	0.176398876
394	0.1762205724
395	0.1761076731
396	0.1759336179
397	0.17571118
398	0.1756311808
399	0.1754266097
400	0.1751776991
401	0.1749527933
402	0.1747940826
403	0.174696694
404	0.174501776
405	0.1742965533
406	0.1741647992
407	0.1739958579
408	0.1738619346
409	0.1736838983
410	0.1735447107
411	0.1733235064
412	0.1731657044
413	0.1729707302
414	0.1727829765
415	0.1726142566
416	0.1724363696
417	0.1722823003
418	0.172143153
419	0.1719172366
420	0.1717621024
421	0.171571404
422	0.1714280983
423	0.1712213823
424	0.1710712212
425	0.170888709
426	0.1707201901
427	0.1704600499
428	0.1703194724
429	0.170144257
430	0.1700556703
431	0.1698002405
432	0.1696382041
433	0.1694631785
434	0.169317273
435	0.1691390324
436	0.1689786807
437	0.1687464014
438	0.1685606144
439	0.1683914318
440	0.1682123504
441	0.1680745417
442	0.1679226139
443	0.1677833033
444	0.1675834843
445	0.1673684828
446	0.1672171983
447	0.1668945787
448	0.1667973801
449	0.1667851886
450	0.1666083228
451	0.1663897143
452	0.1661936643
453	0.1661043562
454	0.1659854111
455	0.1658590129
456	0.1657695172
457	0.1656143737
458	0.1654802203
459	0.1653800082
460	0.1652595251
461	0.1649804748
462	0.1648443108
463	0.1647629925
464	0.1645975158
465	0.1644811304
466	0.1643250791
467	0.1641835848
468	0.1640435774
469	0.1639217504
470	0.1637774922
471	0.1636116359
472	0.1635286407
473	0.1633432319
474	0.1632022304
475	0.1631510918
476	0.1629960315
477	0.1628376743
478	0.162694095
479	0.1626827049
480	0.1625869361
481	0.1625412031
482	0.162371365
483	0.1622045003
484	0.1619931981
485	0.1618250109
486	0.1616790742
487	0.1615364077
488	0.1613887791
489	0.1612335966
490	0.1611127909
491	0.1609037877
492	0.1607501541
493	0.1606586786
494	0.1604504233
495	0.1602097441
496	0.1600818977
497	0.1598668606
498	0.159744399
499	0.1596180502
500	0.159504417
501	0.1592992918
502	0.1590760525
503	0.1588902749
504	0.1588619205
505	0.1586901049
506	0.1584221048
507	0.1582898374
508	0.1581535471
509	0.1580292554
510	0.1578826919
511	0.1577455835
512	0.157559817
513	0.1574411062
514	0.1572993984
515	0.1571448131
516	0.156986022
517	0.1568959038
518	0.1566772596
519	0.1565102223
520	0.156388736
521	0.1562609073
522	0.1561484763
523	0.1559724592
524	0.1559232892
525	0.1558009615
526	0.1556729767
527	0.1555010899
528	0.1553550713
529	0.1552162096
530	0.1550961446
531	0.1549673145
532	0.1548408923
533	0.1546894008
534	0.1546003853
535	0.1545077692
536	0.15440686
537	0.1542250019
538	0.1540862162
539	0.1540098937
540	0.1538810765
