iter	Passed	Remaining
0	6	6740
1	12	6242
2	18	6086
3	24	5987
4	29	5942
5	36	6024
6	41	5931
7	47	5873
8	54	5970
9	73	7265
10	80	7213
11	88	7272
12	93	7135
13	99	7032
14	105	6919
15	159	9784
16	170	9873
17	179	9811
18	190	9819
19	210	10299
20	224	10461
21	231	10279
22	237	10082
23	243	9895
24	255	9960
25	261	9811
26	270	9730
27	275	9565
28	283	9495
29	290	9399
30	298	9319
31	303	9192
32	309	9071
33	317	9015
34	324	8933
35	331	8887
36	337	8787
37	347	8795
38	354	8725
39	364	8750
40	370	8673
41	378	8634
42	384	8558
43	392	8521
44	399	8471
45	409	8494
46	417	8456
47	423	8392
48	431	8370
49	443	8423
50	452	8411
51	461	8412
52	469	8393
53	479	8397
54	486	8360
55	496	8364
56	503	8327
57	510	8288
58	517	8259
59	526	8246
60	532	8196
61	540	8173
62	546	8132
63	554	8107
64	561	8074
65	567	8024
66	575	8017
67	583	7992
68	591	7978
69	597	7943
70	607	7948
71	616	7944
72	624	7928
73	630	7888
74	636	7856
75	642	7816
76	684	8209
77	693	8193
78	701	8174
79	709	8163
80	736	8355
81	744	8337
82	753	8324
83	761	8305
84	771	8301
85	782	8318
86	791	8305
87	798	8279
88	811	8307
89	817	8261
90	826	8260
91	834	8238
92	843	8230
93	852	8220
94	860	8199
95	872	8220
96	888	8270
97	897	8259
98	907	8256
99	918	8264
100	927	8257
101	936	8246
102	944	8226
103	954	8226
104	962	8200
105	968	8166
106	974	8129
107	985	8136
108	990	8100
109	996	8065
110	1001	8021
111	1008	7992
112	1015	7973
113	1021	7939
114	1030	7926
115	1038	7910
116	1048	7914
117	1055	7889
118	1063	7875
119	1069	7844
120	1076	7819
121	1082	7791
122	1088	7762
123	1095	7735
124	1101	7709
125	1107	7681
126	1112	7648
127	1120	7635
128	1128	7622
129	1133	7588
130	1140	7562
131	1146	7538
132	1151	7507
133	1157	7483
134	1163	7452
135	1167	7418
136	1176	7408
137	1182	7386
138	1189	7369
139	1194	7336
140	1199	7310
141	1206	7289
142	1210	7251
143	1215	7225
144	1223	7215
145	1230	7195
146	1238	7184
147	1246	7174
148	1254	7162
149	1261	7149
150	1270	7141
151	1279	7140
152	1286	7121
153	1296	7119
154	1301	7097
155	1306	7069
156	1312	7044
157	1317	7020
158	1325	7012
159	1331	6989
160	1336	6962
161	1341	6940
162	1348	6922
163	1371	6991
164	1377	6968
165	1382	6946
166	1387	6920
167	1392	6896
168	1398	6876
169	1400	6839
170	1406	6816
171	1410	6788
172	1417	6775
173	1422	6752
174	1430	6743
175	1435	6722
176	1440	6699
177	1445	6677
178	1451	6656
179	1456	6636
180	1462	6616
181	1466	6592
182	1502	6708
183	1510	6699
184	1515	6676
185	1600	7002
186	1622	7053
187	1649	7125
188	1667	7156
189	1690	7208
190	1709	7240
191	1718	7233
192	1726	7220
193	1732	7198
194	1741	7190
195	1747	7169
196	1754	7150
197	1760	7131
198	1765	7107
199	1771	7084
200	1778	7068
201	1783	7045
202	1788	7021
203	1793	6996
204	1798	6974
205	1803	6952
206	1808	6927
207	1813	6906
208	1819	6885
209	1824	6863
210	1829	6840
211	1834	6820
212	1840	6802
213	1845	6778
214	1851	6759
215	1858	6744
216	1864	6727
217	1869	6707
218	1874	6685
219	1879	6665
220	1887	6653
221	1893	6634
222	1898	6615
223	1903	6595
224	1909	6576
225	1914	6558
226	1920	6538
227	1924	6516
228	1929	6497
229	1935	6479
230	1941	6462
231	1945	6441
232	1951	6424
233	1956	6405
234	1962	6387
235	1966	6367
236	1972	6349
237	1976	6329
238	1981	6310
239	1988	6297
240	1997	6289
241	2002	6272
242	2007	6254
243	2013	6237
244	2018	6218
245	2023	6202
246	2028	6184
247	2033	6167
248	2039	6152
249	2045	6136
250	2050	6118
251	2055	6100
252	2060	6084
253	2065	6067
254	2071	6051
255	2075	6033
256	2094	6054
257	2099	6038
258	2104	6019
259	2109	6005
260	2116	5991
261	2120	5973
262	2125	5957
263	2137	5960
264	2148	5958
265	2208	6094
266	2218	6089
267	2226	6080
268	2232	6067
269	2243	6064
270	2251	6057
271	2263	6058
272	2270	6045
273	2278	6037
274	2297	6057
275	2308	6054
276	2313	6038
277	2320	6026
278	2327	6015
279	2334	6002
280	2341	5991
281	2348	5978
282	2355	5968
283	2362	5954
284	2368	5941
285	2373	5924
286	2378	5908
287	2384	5894
288	2388	5876
289	2393	5860
290	2402	5853
291	2408	5839
292	2413	5823
293	2416	5803
294	2422	5788
295	2427	5773
296	2434	5761
297	2439	5745
298	2447	5737
299	2452	5722
300	2460	5714
301	2466	5701
302	2472	5686
303	2477	5671
304	2483	5658
305	2489	5646
306	2495	5633
307	2501	5620
308	2506	5605
309	2512	5591
310	2517	5577
311	2522	5563
312	2528	5549
313	2534	5538
314	2539	5523
315	2546	5511
316	2551	5496
317	2555	5481
318	2562	5469
319	2569	5459
320	2574	5444
321	2579	5431
322	2584	5416
323	2588	5401
